en,zh
His achievement cannot compare with that of his teacher.,佢嘅成就不及佢嘅老師。
The WHO is a large scale organisation.,世界衞生組織係一個規模龐大嘅組織。
Our comedy will be released in theatres during the lunar new year so that the audience can celebrate the lunar new year with laughter.,我哋套喜劇會喺農曆新年上畫，等觀眾笑住賀歲。
The property prices drop sharply that many investors suffer a devastating loss.,樓價大跌，好多投資者都輸到頭破血流。
About five hundred students live in this dormitory.,呢間宿舍大約住咗五百人。
Hey, how can you not respect the pecking order!,吖，冇大冇細都有嘅？
If you have not made up your mind right now, feel free to check out our catalogue!,如果你宜家揀唔到嘅話，可以拎本catalogue來參考下喎。
Please remember you are the prince, your speech and behaviour should be self-respecting.,請你記住自己係皇子嘅身分，講嘢做嘢都要自重。
This diamond is flawless.,呢粒鑽石一啲瑕疵都冇。
He is really influential. His banquet was attended by a lot of famous people.,佢好大面㗎，擺酒嗰陣好多名人出席。
I hired an accountant to keep the books for me.,我請咗個會計師幫我記賬。
Do you know how many years is that volcano?,你知唔知呢座火山有幾多年歷史？
With the 70000 dollars that he painstakingly saved, plus the 6.45M dollars given by his father, he finally managed to buy his first apartment.,佢用辛辛苦苦儲落嚟嘅七萬蚊，再加埋佢老豆俾佢嘅六百四十五萬，終於買咗佢人生嘅第一嚿磚頭喇！
With no one respecting the law, the entire system of law collapses.,當大家都唔尊重法律嘅時候，隨之而來嘅就係成個法律制度嘅崩壞。
He wanted to see the view by the window, so he exchanged seats with the passenger next to him.,佢想喺窗邊睇風景，同隔籬個乘客調咗位。
When they got married, they organised a feast with 10 tables.,佢哋結婚擺咗十圍酒席。
I must attend a lesson at nine o'clock every day.,我每朝九點都要上堂。
The government hopes to promote mother-tongue teaching.,政府希望推行母語教育。
The teaching quality of Prof. Lam has always been excellent throughout the ten years.,林教授嘅教學質素十年嚟都貫徹始終咁好。
We will add a moment of silence before the match begins.,喺比賽開始之前，我哋會加插一個默哀儀式。
They broke up because of misunderstanding.,佢哋因為誤會而分手。
I gained the habit of keeping a diary since the age of six.,我由六歲開始就有寫日記嘅習慣。
Thanks to the two undercover agents helping us by transmitting information, we solved the case.,今次可以破到案，全靠兩位卧底同我哋裏應外合。
Though the editors sometimes fail to complete the contents of posts, they work hard to keep the standard.,雖然班編輯間唔中會甩稿，但係都好努力保住水準㗎。
The toilet is flooded, I've already asked somebody to come fix it.,廁所水浸，我搵咗人嚟整㗎喇。
He is satisfied with my work attitude.,佢好滿意我嘅工作態度。
Eleven girls died in this case.,呢單案有十一個女仔死咗。
This song praises God's mercy toward us.,呢首歌主要係讚頌上主對我哋嘅寬容。
crying with quite amount of tears,喊到si li sir lur
Let's bet on how late he will be.,我哋開盤賭下佢會遲幾耐先到？
You suggestion is quite good, let's do it.,你嘅建議幾好，我哋就噉做啦。
I need to work from Monday to Saturday.,我星期一至六都要返工㗎。
The performance starts at 8:00 sharp.,個表演沓正八點開始。
The judge ruled there was a case to answer for the defendant charged with manslaughter.,被告被裁定誤殺罪名表證成立。
This can of tea leaves has a soft, refreshing scent.,呢罐茶葉氣味好清香。
